,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
236,,,,,,,,,,,,,,,Hayden Christensen,,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,,,,,,,,,,,
237,,,,,,,,,,,,,,,Hayden Christensen,,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,,,,,,,,,,,
238,,,,,,,,,,,,,,,James Coburn,,friend|little girl|monster|rival|scream,,,,,,,,,,,
239,,,,,,,,,,,,,,,Rila Fukushima,,healing power|marvel comics|mecha|regeneration|self healing,,,,,,,,,,,
240,,,,,,,,,,,,,,,Ian McDiarmid,,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,,,,,,,,,,,
241,,,,,,,,,,,,,,,Nicolas Cage,,cave|caveman|journey|strict father|survival,,,,,,,,,,,
242,,,,,,,,,,,,,,,Vanessa Hessler,,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,,,,,,,,,,,
243,,,,,,,,,,,,,,,Noah Emmerich,,code|duty|steel helmet|u.s. marine|u.s. soldier,,,,,,,,,,,
244,,,,,,,,,,,,,,,Charlize Theron,,based on fairy tale|dark fantasy|fairy tale|second part|sequel,,,,,,,,,,,
245,,,,,,,,,,,,,,,Jeremy Howard,,18 wheeler|mutant|ninja|sewer|turtle,,,,,,,,,,,
246,,,,,,,,,,,,,,,Amy Warren,,box office hit|long take|sole survivor|space|space station,,,,,,,,,,,
247,,,,,,,,,,,,,,,Tzi Ma,,ash|escape|lava|mayor|volcano,,,,,,,,,,,
248,,,,,,,,,,,,,,,Brad Garrett,,based on comic book|brother brother relationship|rat|sequel|turtle,,,,,,,,,,,
249,,,,,,,,,,,,,,,Tim Heidecker,,box office flop|critically bashed|portal|teleportation|troubled production,,,,,,,,,,,
250,,,,,,,,,,,,,,,Steve Coogan,,chaos|museum|museum of natural history|night watchman|watchman,,,,,,,,,,,
251,,,,,,,,,,,,,,,Archie Panjabi,,disaster movie|earthquake|journey|natural disaster|san andreas fault,,,,,,,,,,,
252,,,,,,,,,,,,,,,Joe Don Baker,,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,,,,,,,,,,,
253,,,,,,,,,,,,,,,Tom Wilkinson,,american revolution|british|french|hero|standoff,,,,,,,,,,,
254,,,,,,,,,,,,,,,Mini Anden,,father daughter relationship|heist|pretending to be pregnant|sequel|thief,,,,,,,,,,,
255,,,,,,,,,,,,,,,Stephanie March,,assassin|marriage|secret agent|suburb|target,,,,,,,,,,,
256,,,,,,,,,,,,,,,Mekhi Phifer,,action heroine|falling from height|mind control|trainhopping|truth serum,,,,,,,,,,,
257,,,,,,,,,,,,,,,Frances Conroy,,1920s|aviation|fight|spruce goose|test flight,,,,,,,,,,,
258,,,,,,,,,,,,,,,Olly Alexander,,bermuda triangle|box office hit|shipwrecked|travel|travel writer,,,,,,,,,,,
259,,,,,,,,,,,,,,,Chad L. Coleman,,heir|kung fu|party|playboy|superhero,,,,,,,,,,,
260,,,,,,,,,,,,,,,Dwight Schultz,,1980s|cult tv|famous opening theme|good versus evil|hero for hire,,,,,,,,,,,
261,,,,,,,,,,,,,,,Peter Mensah,,army|commander|female rear nudity|greek|navy,,,,,,,,,,,
262,,,,,,,,,,,,,,,Madison McKinley,,blue|new york|new york city|no opening credits|smurf,,,,,,,,,,,
263,,,,,,,,,,,,,,,G.W. Bailey,,cattle|cow|dairy farm|farm|rustler,,,,,,,,,,,
264,,,,,,,,,,,,,,,Zoë Kravitz,,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,,,,,,,,,,,
265,,,,,,,,,,,,,,,Olga Fonda,,arena|boxing|boxing movie|robot|robot battle,,,,,,,,,,,
266,,,,,,,,,,,,,,,Vanessa Matsui,,based on cartoon|box office hit|no opening credits|sequel|smurf,,,,,,,,,,,
267,,,,,,,,,,,,,,,Lois Chiles,,collision course|computer|cruise|diamonds|ship run aground,,,,,,,,,,,
268,,,,,,,,,,,,,,,Aramis Knight,,alien|future|manipulation|simulation|training,,,,,,,,,,,
269,,,,,,,,,,,,,,,Cyril Raffaelli,,fbi|hacker|independence day|police|terrorist,,,,,,,,,,,
270,,,,,,,,,,,,,,,Billy Boyd,,elf|hobbit|middle earth|quest|ring,,,,,,,,,,,
271,,,,,,,,,,,,,,,Cécile De France,,19th century|around the world|inventor|martial arts|train,,,,,,,,,,,
272,,,,,,,,,,,,,,,Joe Morton,,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,,,,,,,,,,,
273,,,,,,,,,,,,,,,Spencer Breslin,,based on cult comic book|cat|home alone|imagination|talking cat,,,,,,,,,,,
274,,,,,,,,,,,,,,,Chi McBride,,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,,,,,,,,,,,
275,,,,,,,,,,,,,,,Philip Glenister,,12th century|crusader|jerusalem|knight|medieval times,,,,,,,,,,,
276,,,,,,,,,,,,,,,Jeffrey Jones,,box office hit|cat|first part|mouse|orphanage,,,,,,,,,,,
277,,,,,,,,,,,,,,,Anika Noni Rose,,amphibian|dream|frog|frog prince|waitress,,,,,,,,,,,
278,,,,,,,,,,,,,,,Benedict Wong,,astronaut|international cooperation|left for dead|nasa|space habitat,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,Djimon Hounsou,,clone|environment|escape|island|lottery,,,,,,,,,,,
281,,,,,,,,,,,,,,,Garry Shandling,,anniversary|architect|cellist|friend|hardware store,,,,,,,,,,,
282,,,,,,,,,,,,,,,Robert Duvall,,auto theft|brother|car|theft|thief,,,,,,,,,,,
283,,,,,,,,,,,,,,,Oliver Reed,,battlefield|blood|combat|gladiator|roman empire,,,,,,,,,,,
284,,,,,,,,,,,,,,,Jessica Capshaw,,future|murder|neo noir|washington d.c.|year 2054,,,,,,,,,,,
285,,,,,,,,,,,,,,,Emma Watson,,bildungsroman|flying broom|invisibility cloak|monster|wizardry,,,,,,,,,,,
286,,,,,,,,,,,,,,,Ivana Milicevic,,casino|espionage|free running|james bond|terrorist,,,,,,,,,,,
287,,,,,,,,,,,,,,,Erick Avari,,astronaut|cage|planet|wilhelm scream|year 2029,,,,,,,,,,,
288,,,,,,,,,,,,,,,S. Epatha Merkerson,,future|liquid metal|multiple cameos|sexy woman|time travel,,,,,,,,,,,
289,,,,,,,,,,,,,,,Stephen Graham,,1930s|bank|celebrity criminal|fbi|public enemy number one,,,,,,,,,,,
290,,,,,,,,,,,,,,,RZA,,death|heroin|popcorn|smuggling|vietnam,,,,,,,,,,,
291,,,,,,,,,,,,,,,Tom Arnold,,espionage|secret agent|secret mission|spy|spy film,,,,,,,,,,,
292,,,,,,,,,,,,,,,Michael Rispoli,,hijack|hostage|ransom|subway|train,,,,,,,,,,,
293,,,,,,,,,,,,,,,Teri Polo,,birthday|critically bashed|male nurse|nurse|suspicion,,,,,,,,,,,
294,,,,,,,,,,,,,,,Derek Jeter,,capitalist|detective|investigation|new york city|police,,,,,,,,,,,
295,,,,,,,,,,,,,,,Roma Maffia,,assassination attempt|corporate crime|rogue agent|witness|witness protection program,,,,,,,,,,,
296,,,,,,,,,,,,,,,Ato Essandoh,,dynamite|historically inaccurate|ku klux klan|n word|slavery,,,,,,,,,,,
297,,,,,,,,,,,,,,,Bill Fagerbakke,,15th century|cathedral|gypsy|paris|victor hugo,,,,,,,,,,,
298,,,,,,,,,,,,,,,John Fiedler,,antidote|disney|emperor|first part|llama,,,,,,,,,,,
299,,,,,,,,,,,,,,,Bruce Willis,,church|hostage|mine|plutonium|revenge,,,,,,,,,,,
300,,,,,,,,,,,,,,,Annie Parisse,,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,,,,,,,,,,,
301,,,,,,,,,,,,,,,Gary Lewis,,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,,,,,,,,,,,
302,,,,,,,,,,,,,,,Max Records,,based on children's book|creature|igloo|imagination|king,,,,,,,,,,,
303,,,,,,,,,,,,,,,Nonso Anozie,,1940s|child hero|fantasy world|orphan|reference to peter pan,,,,,,,,,,,
304,,,,,,,,,,,,,,,Troy Evans,,father daughter relationship|forest|miniature person|shrinking|sword and fantasy,,,,,,,,,,,
305,,,,,,,,,,,,,,,Rufus Sewell,,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,,,,,,,,,,,
306,,,,,,,,,,,,,,,Udo Kier,,atheist|ex cop|female masturbation|female nudity|lucifer,,,,,,,,,,,
307,,,,,,,,,,,,,,,Stephen Collins,,diamond|elephant|fisherman|rebel|sierra leone,,,,,,,,,,,
308,,,,,,,,,,,,,,,Jon Favreau,,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,,,,,,,,,,,
309,,,,,,,,,,,,,,,Debi Mazar,,love|necktie|partner|rock music|tuxedo,,,,,,,,,,,
310,,,,,,,,,,,,,,,Seth Gilliam,,alien|federation|future|military|planet,,,,,,,,,,,
311,,,,,,,,,,,,,,,Jim Broadbent,,composer|future|letter|nonlinear timeline|nursing home,,,,,,,,,,,
312,,,,,,,,,,,,,,,Anthony LaPaglia,,barn owl|escape|owl|ruler|soldier,,,,,,,,,,,
313,,,,,,,,,,,,,,,Alex Borstein,,based on cult comic book|bechdel test passed|cat|detective|radical transformation,,,,,,,,,,,
314,,,,,,,,,,,,,,,Ingrid Bolsø Berdal,,army|greek mythology|hercules|king|mercenary,,,,,,,,,,,
315,,,,,,,,,,,,,,,Michael Wincott,,alien|cyborg|pirate|planet|treasure,,,,,,,,,,,
316,,,,,,,,,,,,,,,Bobb'e J. Thompson,,human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex,,,,,,,,,,,
317,,,,,,,,,,,,,,,Harrison Ford,,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,,,,,,,,,,,
318,,,,,,,,,,,,,,,Delroy Lindo,,athlete|extreme sports|fbi|fbi agent|heist,,,,,,,,,,,
319,,,,,,,,,,,,,,,Ben Stein,,baby|cartoon on tv|cartoonist|dog|mask,,,,,,,,,,,
320,,,,,,,,,,,,,,,Frank Dillane,,emaciation|ship|starvation|vomiting|whale,,,,,,,,,,,
321,,,,,,,,,,,,,,,Burt Young,,casino|future|laser gun|moon|nightclub,,,,,,,,,,,
322,,,,,,,,,,,,,,,Igal Naor,,cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,,,,,,,,,,,
323,,,,,,,,,,,,,,,Bill Melendez,,dog|girl|imagination|peanuts|red hair,,,,,,,,,,,
324,,,,,,,,,,,,,,,Campbell Scott,,brother sister relationship|extradition|fbi|japanese tourist|secret,,,,,,,,,,,
325,,,,,,,,,,,,,,,Patricia Velasquez,,ancient egypt|bracelet|king|scorpion|son,,,,,,,,,,,
326,,,,,,,,,,,,,,,Jim Broadbent,,butcher|civil war|gangster|new york city|revenge,,,,,,,,,,,
327,,,,,,,,,,,,,,,Shigeo Kobayashi,,abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,,,,,,,,,,,
328,,,,,,,,,,,,,,,Jon Heder,,chicken|competition|island|penguin|surfing,,,,,,,,,,,
329,,,,,,,,,,,,,,,Roger Bart,,community|connecticut|fem bot|tv producer|writer,,,,,,,,,,,
330,,,,,,,,,,,,,,,Ewen Bremner,,army|helicopter|somali|somalia|warlord,,,,,,,,,,,
331,,,,,,,,,,,,,,,Katherine LaNasa,,campaigning|congressman|north carolina|title at the end|u.s. congressman,,,,,,,,,,,
332,,,,,,,,,,,,,,,Gary Oldman,,1910s|alien|artificially created woman|love|taxi driver,,,,,,,,,,,
333,,,,,,,,,,,,,,,Kristin Davis,,abu dhabi|box office hit|muslim|nanny|united arab emirates,,,,,,,,,,,
334,,,,,,,,,,,,,,,Elton John,,adventurer|el dorado|gold|high priest|implied sex,,,,,,,,,,,
335,,,,,,,,,,,,,,,Drake,,acorn|herd|iceberg|ocean|pirate,,,,,,,,,,,
336,,,,,,,,,,,,,,,Lily James,,dress|duke|fairy godmother|fairy tale|pumpkin,,,,,,,,,,,
337,,,,,,,,,,,,,,,Tom McCarthy,,1970s|afterlife|heaven|pedophile|rape,,,,,,,,,,,
338,,,,,,,,,,,,,,,Brad Garrett,,great barrier reef|protective father|separation from family|shark|short term memory loss,,,,,,,,,,,
339,,,,,,,,,,,,,,,Bernard Hill,,battle|epic|king|orc|ring,,,,,,,,,,,
340,,,,,,,,,,,,,,,Billy Boyd,,epic|evil wizard|middle earth|ring|wizard,,,,,,,,,,,
341,,,,,,,,,,,,,,,Olivia Williams,,apprentice|demon|exorcism|master apprentice relationship|witch,,,,,,,,,,,
342,,,,,,,,,,,,,,,Chris Barrie,,illuminati|planetary alignment|time|tomb|tomb raider,,,,,,,,,,,
343,,,,,,,,,,,,,,,Clifton Collins Jr.,,artificial intelligence|consciousness|power outage|scientist|technology,,,,,,,,,,,
344,,,,,,,,,,,,,,,Alessandro Nivola,,dinosaur|island|jurassic park|paleontologist|search,,,,,,,,,,,
345,,,,,,,,,,,,,,,Tyler Labine,,alzheimer's disease|ape|chimpanzee|fire|when animals attack,,,,,,,,,,,
346,,,,,,,,,,,,,,,Joan Plowright,,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,,,,,,,,,,,
347,,,,,,,,,,,,,,,Megalyn Echikunwoke,,bomb|cia|courthouse|escape|russian,,,,,,,,,,,
348,,,,,,,,,,,,,,,Jordi Mollà,,army|dictator|general|texan|texas,,,,,,,,,,,
349,,,,,,,,,,,,,,,Lou Romano,,hero|island|lawsuit|secret|superhero,,,,,,,,,,,
350,,,,,,,,,,,,,,,Matthew Modine,,latin|pirate|pirate ship|treasure|treasure map,,,,,,,,,,,
351,,,,,,,,,,,,,,,Steve Coogan,,greek|lightning|lightning bolt|poseidon|teenager,,,,,,,,,,,
352,,,,,,,,,,,,,,,Linda Fiorentino,,alien|box office hit|flying saucer|laser gun|wisecrack humor,,,,,,,,,,,
353,,,,,,,,,,,,,,,Wayne Knight,,collector|dog|friend|rescue|toy,,,,,,,,,,,
354,,,,,,,,,,,,,,,Ethan Suplee,,freight train|race against time|runaway train|train|train engineer,,,,,,,,,,,
355,,,,,,,,,,,,,,,Harris Yulin,,boat|gang|hong kong|triad|vacation,,,,,,,,,,,
356,,,,,,,,,,,,,,,Miranda Otto,,ghost|haunted house|research|secret|vermont,,,,,,,,,,,
357,,,,,,,,,,,,,,,Al Roker,,food|giant food|mayor|sardine|weather,,,,,,,,,,,
358,,,,,,,,,,,,,,,Kelly Keaton,,egg|lost world|rescue|squirrel|weasel,,,,,,,,,,,
359,,,,,,,,,,,,,,,Joey Slotnick,,daydream|life magazine|magazine|photographer|snow leopard,,,,,,,,,,,
360,,,,,,,,,,,,,,,Kelly Lynch,,booty shake|box office hit|duct tape over mouth|first part|martial arts,,,,,,,,,,,
361,,,,,,,,,,,,,,,Ray Winstone,,boston|mole|police|undercover|undercover cop,,,,,,,,,,,
362,,,,,,,,,,,,,,,June Foray,,based on poem|based on true story|china|one word title|the huns,,,,,,,,,,,
363,,,,,,,,,,,,,,,Brandon T. Jackson,,film director|parody|spoof|vietnam|written and directed by cast member,,,,,,,,,,,
364,,,,,,,,,,,,,,,Joely Richardson,,computer hacker|hacker|investigation|journalist|punk,,,,,,,,,,,
365,,,,,,,,,,,,,,,Kevin Chamberlin,,bomb|detective|new york city|police|terrorist,,,,,,,,,,,
366,,,,,,,,,,,,,,,Robert Maillet,,black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes,,,,,,,,,,,
367,,,,,,,,,,,,,,,Moises Arias,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,Cree Summer,,atlantis|crew|expedition|journal|museum,,,,,,,,,,,
369,,,,,,,,,,,,,,,Jesse McCartney,,chipmunk|highway travel|on the road|plane|road movie,,,,,,,,,,,
370,,,,,,,,,,,,,,,Thomas Kretschmann,,american actor playing foreigner|assassination|conspiracy|military|nazis,,,,,,,,,,,
371,,,,,,,,,,,,,,,Kevin Nealon,,hair stylist|jew|landlord|muslim|palestinian,,,,,,,,,,,
372,,,,,,,,,,,,,,,Josh Gad,,alien|arcade game|chase|driving in reverse|video gamer,,,,,,,,,,,
373,,,,,,,,,,,,,,,Kevin Sussman,,affection|boy|fairy|future|robot,,,,,,,,,,,
374,,,,,,,,,,,,,,,Marc John Jefferies,,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,,,,,,,,,,,
375,,,,,,,,,,,,,,,Larry King,,message from outer space|religion|religion versus science|scientist|universe,,,,,,,,,,,
376,,,,,,,,,,,,,,,Joey Slotnick,,experiment|research|scientist|suburb|surrealism,,,,,,,,,,,
377,,,,,,,,,,,,,,,Michael Wright,,african|assassination|dialect|interpreter|threat,,,,,,,,,,,
378,,,,,,,,,,,,,,,Brandon T. Jackson,,golden fleece|half brother|magical tree|sea|tree,,,,,,,,,,,
379,,,,,,,,,,,,,,,Djimon Hounsou,,duology|female hero|female lead|orb|pandora's box,,,,,,,,,,,
380,,,,,,,,,,,,,,,Sanaa Lathan,,card trick|london england|magician|rain machine|rooftop,,,,,,,,,,,
381,,,,,,,,,,,,,,,Velibor Topic,,cold fusion|disguise|energy|fusion|the saint,,,,,,,,,,,
382,,,,,,,,,,,,,,,Catherine McCormack,,china|cia|cold war|friendship|retirement,,,,,,,,,,,
383,,,,,,,,,,,,,,,Kim Delaney,,astronaut|mars|mars the planet|outer space|zero gravity,,,,,,,,,,,
384,,,,,,,,,,,,,,,Will.i.am,,bird|brazilian|cockatoo|macaw|minnesota,,,,,,,,,,,
385,,,,,,,,,,,,,,,John Michael Higgins,,23rd century|android|artificial intelligence|dual role|robot,,,,,,,,,,,
386,,,,,,,,,,,,,,,Gaby Hoffmann,,earthquake|fire|lava|rescue|volcano,,,,,,,,,,,
387,,,,,,,,,,,,,,,Natascha McElhone,,friendship|murder|northern ireland|police officer|terrorist,,,,,,,,,,,
388,,,,,,,,,,,,,,,Lex Shrapnel,,courage|radiation sickness|radioactive contamination|sea|test launch,,,,,,,,,,,
389,,,,,,,,,,,,,,,Tim Heidecker,,box office flop|critically bashed|portal|teleportation|troubled production,,,,,,,,,,,
390,,,,,,,,,,,,,,,Sandahl Bergman,,actual animal killed|cult|evil sorcerer|gladiator|warlord,,,,,,,,,,,
391,,,,,,,,,,,,,,,Rosemarie DeWitt,,boxer|boxing|dream|great depression|love,,,,,,,,,,,
392,,,,,,,,,,,,,,,Richard E. Grant,,box office flop|christmas|christmas eve|critically bashed|toy comes to life,,,,,,,,,,,
393,,,,,,,,,,,,,,,Michael O'Neill,,horse|horse racing|jockey|limp|seabiscuit,,,,,,,,,,,
394,,,,,,,,,,,,,,,Jami Gertz,,device|disaster|divorce|storm|tornado,,,,,,,,,,,
395,,,,,,,,,,,,,,,Jordana Brewster,,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,,,,,,,,,,,
396,,,,,,,,,,,,,,,Nick Searcy,,christmas|island|love|survival|talking to inanimate object,,,,,,,,,,,
397,,,,,,,,,,,,,,,Elizabeth Daily,,dance|emperor penguin|friend|penguin|song,,,,,,,,,,,
398,,,,,,,,,,,,,,,Oksana Akinshina,,assassin|car chase|cia|hidden truth|one against many,,,,,,,,,,,
399,,,,,,,,,,,,,,,Dean Stockwell,,ex soldier|hijacker|hostage|president|terrorist,,,,,,,,,,,
400,,,,,,,,,,,,,,,Elliott Gould,,card dealer|casino|criminal mastermind|recruiting|ulcer,,,,,,,,,,,
401,,,,,,,,,,,,,,,Orlando Bloom,,box office flop|cardinal richelieu|critically bashed|duel|musketeer,,,,,,,,,,,
402,,,,,,,,,,,,,,,Jon Lovitz,,dracula|hotel|invisible man|monster|transylvania,,,,,,,,,,,
403,,,,,,,,,,,,,,,Fred Tatasciore,,fairy tale|lawyer|love|new york|prince,,,,,,,,,,,
404,,,,,,,,,,,,,,,Hettienne Park,,blood|cannibalism|fbi|manipulation|psychiatrist,,,,,,,,,,,
405,,,,,,,,,,,,,,,Sam Shepard,,cia|cia agent|consulate|on the run|safe house,,,,,,,,,,,
406,,,,,,,,,,,,,,,Jim Carter,,dog|parole|parole officer|prison|puppy,,,,,,,,,,,
407,,,,,,,,,,,,,,,Judd Hirsch,,apartment|fbi|fraud|heist|manager,,,,,,,,,,,
408,,,,,,,,,,,,,,,Sarah Parish,,book|composer|house|love|self esteem,,,,,,,,,,,
409,,,,,,,,,,,,,,,Lisa Bonet,,congressman|lawyer|nsa|on the run|surveillance,,,,,,,,,,,
410,,,,,,,,,,,,,,,Zoe Kazan,,affair|divorce|graduation|vomiting|watching television,,,,,,,,,,,
411,,,,,,,,,,,,,,,Brad Pitt,,casino|heist|manmade earthquake|revenge|tunnel boring machine,,,,,,,,,,,
412,,,,,,,,,,,,,,,Jane Krakowski,,bear|deer|forest|grizzly bear|hunter,,,,,,,,,,,
413,,,,,,,,,,,,,,,Mekhi Phifer,,army|brother sister relationship|dystopia|father son relationship|narrated by character,,,,,,,,,,,
414,,,,,,,,,,,,,,,Clemens Schick,,battle|german|russian|sniper|stalingrad,,,,,,,,,,,
415,,,,,,,,,,,,,,,Ewen Bremner,,amazon|bounty hunter|fight|hunter|jungle,,,,,,,,,,,
416,,,,,,,,,,,,,,,Joan Plowright,,action hero|hero|magic|ticket|video store,,,,,,,,,,,
417,,,,,,,,,,,,,,,Karl Yune,,coming of age|geisha|japan|jealousy|love,,,,,,,,,,,
418,,,,,,,,,,,,,,,Nikki Griffin,,car|challenge|drift racing|drifting|tokyo japan,,,,,,,,,,,
419,,,,,,,,,,,,,,,Michael Palin,,christmas|christmas eve|elf|high tech|resentment,,,,,,,,,,,
420,,,,,,,,,,,,,,,Jake Weber,,birthday|death|death personified|fear of death|wealth,,,,,,,,,,,
421,,,,,,,,,,,,,,,Jsu Garcia,,bare chested boy|car explosion|colombia|explosion|terrorism,,,,,,,,,,,
422,,,,,,,,,,,,,,,Max Wright,,dancer|editing|stand up comedian|surgery|vomiting,,,,,,,,,,,
423,,,,,,,,,,,,,,,Danny Woodburn,,kingdom|prince|princess|queen|snow,,,,,,,,,,,
424,,,,,,,,,,,,,,,Ellen Wong,,band|dating|high school|hipster|rock band,,,,,,,,,,,
425,,,,,,,,,,,,,,,Rekha Sharma,,core|earth|natural disaster|pacemaker|scientist,,,,,,,,,,,
426,,,,,,,,,,,,,,,Chris Elliott,,alter ego|marriage|professor|scientist|serum,,,,,,,,,,,
427,,,,,,,,,,,,,,,Miguel A. Núñez Jr.,,amusement park|island|motorcycle|scooby doo|tough girl,,,,,,,,,,,
428,,,,,,,,,,,,,,,Rakie Ayola,,brutality|dark humor|female antagonist|female warrior|post apocalypse,,,,,,,,,,,
429,,,,,,,,,,,,,,,Julie Kavner,,architect|frozen time|obese man|remote control|stopped time,,,,,,,,,,,
430,,,,,,,,,,,,,,,Adrienne Barbeau,,anthology|child abuse|critically acclaimed|death|grindhouse,,,,,,,,,,,
431,,,,,,,,,,,,,,,Katt Williams,,cartoon on tv|cat|dog|kitty|special agent,,,,,,,,,,,
432,,,,,,,,,,,,,,,Tom Hulce,,bank|based on novel|ice|teleportation|vault,,,,,,,,,,,
433,,,,,,,,,,,,,,,Brian Steele,,creature|elf|prince|rebellion|superhero,,,,,,,,,,,
434,,,,,,,,,,,,,,,Anthony Edwards,,cartoonist|reporter|serial killer|zodiac|zodiac killer,,,,,,,,,,,
435,,,,,,,,,,,,,,,Tony Goldwyn,,clone|cloning|future|laser gun|murder,,,,,,,,,,,
436,,,,,,,,,,,,,,,Lisa Ann Walter,,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,,,,,,,,,,,
437,,,,,,,,,,,,,,,Jet Li,,action hero|assassination attempt|explosion|machine gun|rescue mission,,,,,,,,,,,
438,,,,,,,,,,,,,,,Vanessa Redgrave,,disguise|mission|spy|stealing|traitor,,,,,,,,,,,
439,,,,,,,,,,,,,,,Anthony Reynolds,,fight to the death|game|massacre|self survival|suicide attempt,,,,,,,,,,,
440,,,,,,,,,,,,,,,Mike Tyson,,hotel|male frontal nudity|pubic hair|thailand|wedding,,,,,,,,,,,
441,,,,,,,,,,,,,,,Andrew Bryniarski,,box office hit|dc comics|gotham|mayor|penguin,,,,,,,,,,,
442,,,,,,,,,,,,,,,Catherine O'Hara,,bear|food|forest|raccoon|turtle,,,,,,,,,,,
443,,,,,,,,,,,,,,,David Ogden Stiers,,alien|escape|fugitive|hawaii|social worker,,,,,,,,,,,
444,,,,,,,,,,,,,,,Oprah Winfrey,,barn|pig|piglet|spider|uncle,,,,,,,,,,,
445,,,,,,,,,,,,,,,Robert Duvall,,astronomer|comet|mission|president|secretary,,,,,,,,,,,
446,,,,,,,,,,,,,,,Garrick Hagon,,cia|cia agent|rescue|russian|team,,,,,,,,,,,
447,,,,,,,,,,,,,,,Dalip Singh,,coach|convict|football|prison|warden,,,,,,,,,,,
448,,,,,,,,,,,,,,,Lauren Gottlieb,,chipmunk|cruise ship|football ball|overboard|tennis ball,,,,,,,,,,,
449,,,,,,,,,,,,,,,Jon Lovitz,,belching|number in title|party|reference to nicki minaj|sneezing,,,,,,,,,,,
450,,,,,,,,,,,,,,,Anne Hathaway,,airplane|misunderstanding|obese woman|overweight woman|spy,,,,,,,,,,,
451,,,,,,,,,,,,,,,Paul Michael Glaser,,beach|dating|doctor|heart attack|weekend,,,,,,,,,,,
452,,,,,,,,,,,,,,,Nellie Sciutto,,female prisoner|plot twist|self delusion|surprise ending|year 1954,,,,,,,,,,,
453,,,,,,,,,,,,,,,Katy Mixon,,airport|christmas|news broadcast|tv broadcast|tv news,,,,,,,,,,,
454,,,,,,,,,,,,,,,Paula Abdul,,actor voicing multiple characters|box office hit|coffee|plate|robot,,,,,,,,,,,
455,,,,,,,,,,,,,,,Joan Allen,,death of child|face|face transplant|prison|terrorist,,,,,,,,,,,
456,,,,,,,,,,,,,,,Kathryn Joosten,,2000s|bedtime story|elephant|handyman|tween girl,,,,,,,,,,,
457,,,,,,,,,,,,,,,Liam Aiken,,1930s|blood|gun|on the run|revenge,,,,,,,,,,,
458,,,,,,,,,,,,,,,Kevin Nealon,,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,,,,,,,,,,,
459,,,,,,,,,,,,,,,Charlie Cox,,corruption|lawyer|partnership|superhero|vigilante,,,,,,,,,,,
460,,,,,,,,,,,,,,,Dave Chappelle,,army rangers|convict|criminal|escape|prison,,,,,,,,,,,
461,,,,,,,,,,,,,,,Cameron Boyce,,audio surveillance|death|pentagon|technology|twin brother,,,,,,,,,,,
462,,,,,,,,,,,,,,,Charlie Hunnam,,civil war|mountain|soldier|well|wounded soldier,,,,,,,,,,,
463,,,,,,,,,,,,,,,Gary Oldman,,blind|book|long take|post apocalypse|water,,,,,,,,,,,
464,,,,,,,,,,,,,,,Sam Lloyd,,college|flubber|flying rubber|professor|wedding,,,,,,,,,,,
465,,,,,,,,,,,,,,,Virginia Madsen,,greenhouse|haunted house|horror movie remake|mansion|old house,,,,,,,,,,,
466,,,,,,,,,,,,,,,Michael Jordan,,alien|basketball|basketball game|cult film|monstars,,,,,,,,,,,
